3975-2017-07-30_124_Bruenigschwinget-ST

1a;Reusser Philipp;***;;;;;;;;;57.25
12b;Vogel Remo;**;;;;;;;;;54.5
-;;;Pulfer Thomas;*;;;;;;;8.75
-;4;8.75;Luginbühl Hanspeter;**;15;53.75;4;8.75;0;0.0;8.75
-;9;17.5;Schlüchter Colin;*;18;53.0;5;18.5;-4;1.0;8.75
+;12;26.25;Steiner Michael;**;27;34.5;13;26.0;1;-0.25;9.75
+;11;36.0;Iseli Marco;**;13;54.25;12;35.75;1;-0.25;9.75
-;11;45.75;Leuppi Samir;**;12;54.5;11;45.75;0;0.0;8.75

12c;Eugster Ruedi;**;;;;;;;;;54.5
-;;;Luginbühl Hanspeter;**;;;;;;;8.75
