5235-2021-08-22_Fete_Cantonale_Fribourgeoise-ST

1a;Schuler Christian;***;;;;;;;;;58.75
+;14;35.75;Menoud Liam;;16;54.0;14;35.75;0;0.0;9.75
+;13;45.5;Vaucher Rémy;;16;54.0;13;45.5;0;0.0;9.75

11b;Schläfli Hugo;;;;;;;;;;55.25
+;;;Cochrane Benjamin;;;;;;;;10.0
o;1;10.0;Hess Michael;*;8;56.0;6;8.5;5;-1.5;8.5
+;5;18.5;Zbinden Samuel;;17;53.75;6;18.25;1;-0.25;10.0
o;4;28.5;Piemontesi Pascal;**;9;55.75;4;28.5;0;0.0;8.5
+;9;37.0;Steinauer Kevin (2004);;12;55.0;10;36.75;1;-0.25;9.75
o;8;46.75;Colò Kilian;**;4;57.0;6;47.25;-2;0.5;8.5

11c;Jacot Ismaël;;;;;;;;;;55.25
+;;;Chassot Samuel;;;;;;;;9.75
o;2;9.75;Baeriswyl Christoph;**;7;56.25;5;8.75;3;-1.0;8.5
o;6;18.25;Sturny Nicolas;;7;56.25;4;18.75;-2;0.5;8.5
o;11;26.75;Maire Pascal (2004);;13;54.75;12;26.5;1;-0.25;8.5
+;16;35.25;Périsset Valentin;;24;51.0;19;34.0;3;-1.25;10.0
+;14;45.25;Gaudard Jeremy;;16;54.0;14;45.25;0;0.0;10.0

11d;Crettaz Olivier;*;;;;;;;;;55.25
o;;;Emonet Frédéric;**;;;;;;;8.5
+;6;8.5;Pasquier Loïc;;12;55.0;2;9.75;-4;1.25;9.75
+;6;18.25;Beaud Eric;;21;52.5;5;18.5;-1;0.25;10.0
o;5;28.25;Baeriswyl Christoph;**;7;56.25;4;28.5;-1;0.25;8.5
-;10;36.75;Tornare Paul;;15;54.25;10;36.75;0;0.0;8.75
+;13;45.5;Monney Branighan;;16;54.0;13;45.5;0;0.0;9.75

11e;Lauber Grégoire;;;;;;;;;;55.25
o;;;Chofflon Anthony;;;;;;;;8.5
+;6;8.5;Girard Simon (2004);;17;53.75;5;8.75;-1;0.25;10.0
o;5;18.5;Hayoz Quentin;*;6;56.5;6;18.25;1;-0.25;8.5
+;10;27.0;Tornare Philippe (2004);;20;52.75;10;27.0;0;0.0;10.0
o;9;37.0;Schmid Romain (2003);;4;57.0;8;37.25;-1;0.25;8.5
+;13;45.5;Zbinden Lukas (2003);;16;54.0;13;45.5;0;0.0;9.75

11f;Pürro David;;;;;;;;;;55.25
+;;;Buchs Stefan;;;;;;;;9.75
+;2;9.75;Tschachtli Sven;**;10;55.5;4;9.0;2;-0.75;9.75
o;3;19.5;Kramer Lario;***;3;57.25;4;18.75;1;-0.75;8.5
-;6;28.0;Hirschi Damien (2003);;13;54.75;8;27.5;2;-0.5;8.75
-;10;36.75;Rogivue Théo (2003);;15;54.25;10;36.75;0;0.0;8.75
+;13;45.5;Ganière William;;16;54.0;13;45.5;0;0.0;9.75

11g;Ambresin Cyril;**;;;;;;;;;55.25
o;;;Borcard Johann;**;;;;;;;8.5
+;6;8.5;Chofflon Anthony;;14;54.5;1;10.0;-5;1.5;9.75
+;6;18.25;Aeschbacher Ivo;;18;53.5;3;19.5;-3;1.25;10.0
o;5;28.25;Balimann Sandro;*;10;55.5;4;28.5;-1;0.25;8.5
+;10;36.75;Rey Arnaud (2003);;17;53.75;10;36.75;0;0.0;10.0
o;8;46.75;Kramer Lario;***;3;57.25;6;47.25;-2;0.5;8.5

12a;Wenger Marco;;;;;;;;;;55.0
+;;;Tornare Paul;;;;;;;;9.75
o;2;9.75;Aeschbacher Ivo;;18;53.5;2;9.75;0;0.0;8.5
-;6;18.25;Chofflon Anthony;;14;54.5;5;18.5;-1;0.25;8.75
+;10;27.0;Girard Simon (2004);;17;53.75;10;27.0;0;0.0;9.75
o;10;36.75;Sturny Nicolas;;7;56.25;7;37.5;-3;0.75;8.5
+;14;45.25;Rey Arnaud (2003);;17;53.75;14;45.25;0;0.0;9.75

12b;Bapst Richard;;;;;;;;;;55.0
+;;;Périsset Valentin;;;;;;;;10.0
o;1;10.0;Haenni Stéphane;**;9;55.75;5;8.75;4;-1.25;8.5
+;5;18.5;Quartenoud Samuel;;18;53.5;6;18.25;1;-0.25;9.75
o;5;28.25;Colò Kilian;**;4;57.0;5;28.25;0;0.0;8.5
+;10;36.75;Zbinden Samuel;;17;53.75;16;35.25;6;-1.5;9.75
o;9;46.5;Kälin Roland;**;7;56.25;10;46.25;1;-0.25;8.5

12c;Fankhauser Yanik;;;;;;;;;;55.0
-;;;Fallegger Riccardo (2003);;;;;;;;8.75
+;5;8.75;Yerly Cyril (2005);;26;17.0;6;8.5;1;-0.25;10.0
o;4;18.75;Dubey Gaël;*;15;54.25;5;18.5;1;-0.25;8.5
-;9;27.25;Imhasly Jorin;;16;54.0;11;26.75;2;-0.5;8.75
-;13;36.0;Dugué Maël;;18;53.5;13;36.0;0;0.0;9.0
+;15;45.0;Quartenoud Samuel;;18;53.5;15;45.0;0;0.0;10.0

12d;Pasquier Loïc;;;;;;;;;;55.0
+;;;Menoud Liam;;;;;;;;9.75
o;2;9.75;Crettaz Olivier;*;11;55.25;6;8.5;4;-1.25;8.5
o;6;18.25;Lagler Christian;*;9;55.75;8;17.5;2;-0.75;8.5
+;11;26.75;Fallegger Riccardo (2003);;15;54.25;9;27.25;-2;0.5;10.0
+;10;36.75;Balimann Fabian;;12;55.0;10;36.75;0;0.0;9.75
o;9;46.5;Schmid Romain (2003);;4;57.0;7;47.0;-2;0.5;8.5

12e;Steinauer Kevin (2004);;;;;;;;;;55.0
o;;;Sturny Nicolas;;;;;;;;8.5
+;6;8.5;Clément Aurélien (2003);;15;54.25;4;9.0;-2;0.5;9.75
+;6;18.25;Crettaz Julien;;21;52.5;6;18.25;0;0.0;10.0
o;5;28.25;Duplan Steve;***;5;56.75;10;27.0;5;-1.25;8.5
o;10;36.75;Schläfli Hugo;;11;55.25;9;37.0;-1;0.25;8.5
+;14;45.25;Cotting Florian;*;17;53.75;14;45.25;0;0.0;9.75

12f;Balimann Fabian;;;;;;;;;;55.0
+;;;Cherpillod Cédric;;;;;;;;10.0
o;1;10.0;Steinauer Adrian;**;6;56.5;6;8.5;5;-1.5;8.5
+;5;18.5;Lopes Semedo Mauro;;25;35.25;6;18.25;1;-0.25;9.75
o;5;28.25;Collaud Romain;**;1;58.75;3;28.75;-2;0.5;8.5
o;10;36.75;Pasquier Loïc;;12;55.0;10;36.75;0;0.0;8.5
+;14;45.25;Dugué Maël;;18;53.5;15;45.0;1;-0.25;9.75

13a;Jeannin Jess;;;;;;;;;;54.75
-;;;Girard Simon (2004);;;;;;;;8.75
o;5;8.75;Zbinden Lukas (2003);;16;54.0;5;8.75;0;0.0;8.5
-;9;17.25;Piccand Mathew;;17;53.75;10;17.0;1;-0.25;9.0
+;13;26.25;Crettaz Julien;;21;52.5;11;26.75;-2;0.5;10.0
+;12;36.25;Cherpillod Cédric;;13;54.75;11;36.5;-1;0.25;10.0
o;10;46.25;Tschachtli Sven;**;10;55.5;12;45.75;2;-0.5;8.5

13b;Hirschi Damien (2003);;;;;;;;;;54.75
o;;;Zbinden Samuel;;;;;;;;8.5
+;6;8.5;Hochuli Samuel;;21;52.5;6;8.5;0;0.0;10.0
-;5;18.5;Fankhauser Hans;*;20;52.75;10;17.0;5;-1.5;9.0
-;8;27.5;Pürro David;;11;55.25;6;28.0;-2;0.5;8.75
+;12;36.25;Maire Pascal (2004);;13;54.75;12;36.25;0;0.0;10.0
o;10;46.25;Hayoz Quentin;*;6;56.5;8;46.75;-2;0.5;8.5

13c;Maire Pascal (2004);;;;;;;;;;54.75
+;;;Imhasly Jorin;;;;;;;;9.75
o;2;9.75;Matthey Mickaël;**;9;55.75;4;9.0;2;-0.75;8.25
o;7;18.0;Kälin Roland;**;7;56.25;7;18.0;0;0.0;8.5
+;12;26.5;Jacot Ismaël;;11;55.25;11;26.75;-1;0.25;9.75
o;12;36.25;Hirschi Damien (2003);;13;54.75;12;36.25;0;0.0;8.5
+;16;44.75;Tornare Philippe (2004);;20;52.75;17;44.25;1;-0.5;10.0

13d;Mosimann Vincent;*;;;;;;;;;54.75
+;;;Fankhauser Hans;*;;;;;;;9.75
o;2;9.75;Collaud Romain;**;1;58.75;5;8.75;3;-1.0;8.5
+;6;18.25;Fallegger Riccardo (2003);;15;54.25;4;18.75;-2;0.5;9.75
+;6;28.0;Ganière William;;16;54.0;10;27.0;4;-1.0;9.75
o;6;37.75;Hess Michael;*;8;56.0;9;37.0;3;-0.75;8.5
o;10;46.25;Steinauer Adrian;**;6;56.5;9;46.5;-1;0.25;8.5

13e;Cotting Alexandre;;;;;;;;;;54.75
+;;;Gaudard Jeremy;;;;;;;;9.75
+;2;9.75;Fankhauser Hans;*;20;52.75;6;8.5;4;-1.25;9.75
o;3;19.5;Derron Cédric;*;5;56.75;1;20.0;-2;0.5;8.5
o;6;28.0;Loup Grégoire;;10;55.5;4;28.5;-2;0.5;8.5
+;11;36.5;Aeschbacher Ivo;;18;53.5;11;36.5;0;0.0;9.75
o;10;46.25;Lagler Christian;*;9;55.75;12;45.75;2;-0.5;8.5

13f;Cherpillod Cédric;;;;;;;;;;54.75
o;;;Balimann Fabian;;;;;;;;8.5
+;6;8.5;Tornare Paul;;15;54.25;6;8.5;0;0.0;9.75
+;6;18.25;Cochrane Benjamin;;16;54.0;5;18.5;-1;0.25;9.75
o;6;28.0;Cotting Florian;*;17;53.75;10;27.0;4;-1.0;8.5
o;11;36.5;Jeannin Jess;;13;54.75;12;36.25;1;-0.25;8.5
+;15;45.0;Aeschbacher Ivo;;18;53.5;15;45.0;0;0.0;9.75

