3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST

1a;Zimmermann Martin;*;;;;;;;;;108.5
+;14;45.75;Schmid Köbi;;18;54.25;14;45.75;0;0.0;10.0

12h;Müller Michael;**;;;;;;;;;55.75
+;;;Grab Daniel;**;;;;;;;10.0
-;3;10.0;Schmid David;**;14;55.25;6;8.75;3;-1.25;8.75
+;7;18.75;Waser Reto;*;16;54.75;8;18.5;1;-0.25;10.0
o;6;28.75;Müllestein Mike;**;6;57.5;5;29.0;-1;0.25;8.5
+;10;37.25;Gwerder Christian;**;12;55.75;11;37.0;1;-0.25;9.75
o;9;47.0;Gwerder Dario;*;8;56.75;10;46.75;1;-0.25;8.75

12i;Arnold Raphael;*;;;;;;;;;55.75
-;;;Bürgler André;*;;;;;;;8.75
o;6;8.75;Dober Adrian;*;11;56.0;6;8.75;0;0.0;8.5
+;12;17.25;Koch Roger;*;19;54.0;12;17.25;0;0.0;9.75
+;13;27.0;Betschart Patrick (1999);;14;55.25;13;27.0;0;0.0;9.75
+;12;36.75;Nauer Robin;;19;54.0;11;37.0;-1;0.25;10.0
-;10;46.75;Mathis Marcel;***;11;56.0;9;47.0;-1;0.25;9.0

12j;Gwerder Christian;**;;;;;;;;;55.75
-;;;Schnider Markus;*;;;;;;;8.75
-;6;8.75;Gassmann Fabian;**;37;34.75;7;8.5;1;-0.25;8.75
+;11;17.5;Langenstein Philip;*;33;35.75;12;17.25;1;-0.25;9.75
+;12;27.25;Schöpfer Ronny (1999);;16;54.75;11;27.5;-1;0.25;9.75
o;11;37.0;Müller Michael;**;12;55.75;10;37.25;-1;0.25;8.75
+;14;45.75;Müller Toni;*;18;54.25;14;45.75;0;0.0;10.0

12k;Nietlispach Pascal;**;;;;;;;;;55.75
+;;;Niederberger Jakob;**;;;;;;;9.75
o;4;9.75;Imhof Andi;***;5;58.0;3;10.0;-1;0.25;8.5
+;9;18.25;Arnold Fabian;;20;53.75;8;18.5;-1;0.25;10.0
o;8;28.25;Brun Jonas;**;7;57.0;7;28.5;-1;0.25;8.75
+;11;37.0;Zimmermann Martin;**;1;108.5;2;72.25;-9;35.25;10.0
o;9;47.0;Zimmermann Simon;*;9;56.5;10;46.75;1;-0.25;8.75

12l;Linggi Bruno;**;;;;;;;;;55.75
o;;;Arnold Stefan;**;;;;;;;8.5
+;7;8.5;Amgarten Martin;*;40;34.0;7;8.5;0;0.0;10.0
+;8;18.5;Egli Damian;**;17;54.5;6;19.0;-2;0.5;9.75
+;8;28.25;Betschart Marcel;;17;54.5;5;29.0;-3;0.75;10.0
o;7;38.25;Suppiger René;**;9;56.5;8;38.0;1;-0.25;8.5
-;10;46.75;Zemp Thomas;*;15;55.0;13;46.0;3;-0.75;9.0

13a;Briker Michael;*;;;;;;;;;55.5
+;;;Reichmuth Armin;*;;;;;;;10.0
o;3;10.0;Nötzli Reto;***;11;56.0;7;8.5;4;-1.5;8.75
+;7;18.75;Schmid Köbi;;18;54.25;3;20.0;-4;1.25;9.75
o;7;28.5;Schelbert Ralf;**;7;57.0;6;28.75;-1;0.25;8.5
