4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;**;;;;;;;;;109.25
o;9;37.25;Rohrer Marco;**;15;55.0;11;36.75;2;-0.5;8.5
+;13;45.75;Arnold Marcel;*;20;53.5;16;45.0;3;-0.75;9.75

13f;Höﬂiger Andreas;**;;;;;;;;;55.5
-;;;Brun Jonas;**;;;;;;;8.75
+;5;8.75;Kurmann Toni;*;28;35.5;5;8.75;0;0.0;9.75
+;7;18.5;Della Torre Simon;;36;27.0;7;18.5;0;0.0;9.75
-;7;28.25;Bürli Roger;**;13;55.5;8;28.0;1;-0.25;8.75
o;10;37.0;Rolli Martin;**;14;55.25;11;36.75;1;-0.25;8.5
+;14;45.5;Nietlispach Pascal;**;19;54.0;14;45.5;0;0.0;10.0

