3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
-;;;Kennel Stefan;**;;;;;;;8.75
-;4;8.75;Käslin Ruedi;*;10;55.75;5;8.5;1;-0.25;8.75
+;9;17.5;Gwerder Beni;;12;55.25;6;18.5;-3;1.0;10.0
+;8;27.5;Thalmann Adrian (1999);;13;55.0;5;28.25;-3;0.75;10.0
o;7;37.5;Reichmuth Marco;**;5;57.0;8;37.25;1;-0.25;8.75
+;9;46.25;Müller Mathias;;15;54.5;10;46.0;1;-0.25;10.0

8f;Wyrsch Silvio;;;;;;;;;;56.25
-;;;Bär Leo;;;;;;;;8.75
+;4;8.75;Ulrich Damian (1999);;20;53.25;5;8.5;1;-0.25;10.0
o;5;18.75;von Büren Stephan;*;12;55.25;7;18.25;2;-0.5;8.75
+;8;27.5;Suter Pirmin;;16;54.25;9;27.25;1;-0.25;10.0
o;7;37.5;Ambühl Joel;*;6;56.75;9;37.0;2;-0.5;8.75
+;9;46.25;Suter David;**;14;54.75;9;46.25;0;0.0;10.0

8g;Linggi Bruno;**;;;;;;;;;56.25
o;;;Muff Armin;**;;;;;;;8.5
+;5;8.5;Egli Manuel;*;6;56.75;4;8.75;-1;0.25;9.75
+;7;18.25;Hodler Mathias;;16;54.25;5;18.75;-2;0.5;10.0
+;5;28.25;Stöckli Damian;;10;55.75;3;28.75;-2;0.5;9.75
o;5;38.0;Gloggner Philipp;***;3;57.5;6;37.75;1;-0.25;8.5
+;8;46.5;Schärli Reto;;10;55.75;5;47.25;-3;0.75;9.75

8h;Muff Armin;**;;;;;;;;;56.25
+;;;Linggi Bruno;**;;;;;;;9.75
+;2;9.75;Schmid Simon (2000);;10;55.75;1;10.0;-1;0.25;9.75
o;3;19.5;Imhof Andi;***;7;56.5;5;18.75;2;-0.75;8.5
+;6;28.0;Bärtschi Basil;;16;54.25;3;28.75;-3;0.75;9.75
o;6;37.75;Steinauer Adrian;**;4;57.25;7;37.5;1;-0.25;8.5
+;9;46.25;Muff Reto;;13;55.0;8;46.5;-1;0.25;10.0

9a;Muff André;*;;;;;;;;;56.0
+;;;Elsener Peter;**;;;;;;;9.75
-;2;9.75;Steinauer Adrian;**;4;57.25;4;8.75;2;-1.0;8.75
-;6;18.5;Lustenberger Josef;;15;54.5;2;19.75;-4;1.25;9.0
+;8;27.5;Schuler Daniel;;11;55.5;8;27.5;0;0.0;10.0
o;7;37.5;Fankhauser Erich;***;4;57.25;8;37.25;1;-0.25;8.5
+;10;46.0;Vogel Manuel;;13;55.0;8;46.5;-2;0.5;10.0

9b;Achermann Christoph;*;;;;;;;;;56.0
+;;;Käslin Ruedi;*;;;;;;;9.75
o;2;9.75;Imhof Andi;***;7;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Gut Koni;;16;54.25;5;18.75;-2;0.5;10.0
-;5;28.25;Schürpf Bruno;;11;55.5;5;28.25;0;0.0;9.0
-;8;37.25;Hurschler Thomas;**;13;55.0;7;37.5;-1;0.25;8.75
+;10;46.0;Bachmann Adrian;;15;54.5;10;46.0;0;0.0;10.0

9c;Binggeli Stefan;*;;;;;;;;;56.0
-;;;Graber Michael;*;;;;;;;8.75
