3077-2016-06-19_101_Basellandschaftliches_Kantonalschwingfest-ST

1a;Erb Roger;**;;;;;;;;;58.75
+;13;45.5;François Cederic;;15;54.25;12;45.75;-1;0.25;9.75

11d;von Arx Christian;*;;;;;;;;;55.25
o;;;Räbmatter Patrick;**;;;;;;;8.5
o;5;8.5;Steinmann Yves;*;7;56.25;5;8.5;0;0.0;8.5
+;12;17.0;Mangold Martin;;10;55.5;6;18.5;-6;1.5;10.0
+;9;27.0;Graber Colin (1998);;15;54.25;8;27.25;-1;0.25;10.0
o;8;37.0;Schmid Samuel;**;8;56.0;7;37.25;-1;0.25;8.5
+;13;45.5;Dobler Florian;;14;54.5;11;46.0;-2;0.5;9.75

11e;Gisin Yanic;;;;;;;;;;55.25
o;;;Aerni Lars;;;;;;;;8.75
-;4;8.75;Graber Colin (1998);;15;54.25;4;8.75;0;0.0;8.75
+;10;17.5;Seiser Kay (2000);;19;53.25;10;17.5;0;0.0;9.75
o;8;27.25;Schär Simon;*;9;55.75;9;27.0;1;-0.25;8.5
+;13;35.75;Steger Robert (1998);;19;53.25;12;36.0;-1;0.25;9.75
+;13;45.5;Schaub Reto (2000);;17;53.75;14;45.25;1;-0.25;9.75

11f;Schwander Kilian;;;;;;;;;;55.25
+;;;Mohler Fernando;;;;;;;;10.0
o;1;10.0;Brügger Cyrill (1998);;24;46.75;1;10.0;0;0.0;8.5
o;6;18.5;Waldner Patrick;**;6;56.5;7;18.25;1;-0.25;8.5
+;9;27.0;Regenass Beat;;29;35.0;11;26.25;2;-0.75;9.75
o;9;36.75;Krebs Clemens;;10;55.5;9;36.75;0;0.0;8.5
+;14;45.25;Fritz Christian;;17;53.75;14;45.25;0;0.0;10.0

11g;Brun Samuel (1999);*;;;;;;;;;55.25
+;;;Schär Simon;*;;;;;;;10.0
o;1;10.0;Kropf Marcel;**;10;55.5;1;10.0;0;0.0;8.5
+;6;18.5;Läuchli Janik (2000);;19;53.25;4;19.0;-2;0.5;10.0
o;3;28.5;Alpiger Nick;**;3;57.25;2;28.75;-1;0.25;8.5
o;8;37.0;Widmer David;;11;55.25;8;37.0;0;0.0;8.5
+;13;45.5;Graber Colin (1998);;15;54.25;12;45.75;-1;0.25;9.75

11h;Widmer David;;;;;;;;;;55.25
o;;;Dobler Florian;;;;;;;;8.5
