2805-2015-04-26_Fete_cantonale_Fribourgeoise-ST

1a;Sempach Matthias;***;;;;;;;;;59.5
o;6;18.5;Ducrest Romain;;11;55.5;6;18.5;0;0.0;8.5
+;10;27.0;Rohrbach Sylvain (1997);;16;54.25;10;27.0;0;0.0;10.0
o;10;37.0;Brand Andreas;*;16;54.25;15;35.75;5;-1.25;8.5
+;13;45.5;Forster Sämi (1997);;18;53.75;14;45.25;1;-0.25;9.75

12l;Oppliger Adrian;;;;;;;;;;55.25
o;;;Chèvre Bernard;;;;;;;;8.5
+;5;8.5;Rohrbach Sylvain (1997);;16;54.25;5;8.5;0;0.0;10.0
o;6;18.5;Studer Stefan;**;7;56.5;8;17.75;2;-0.75;8.5
+;10;27.0;Berger Alan (1998);;30;35.5;10;27.0;0;0.0;10.0
+;10;37.0;Skryapnik Oleg;;13;55.0;11;36.75;1;-0.25;9.75
o;8;46.75;Brodard Simon;**;4;57.25;6;47.25;-2;0.5;8.5

13a;Bugnon Cédric;;;;;;;;;;55.0
+;;;Vonlanthen Marc;;;;;;;;10.0
+;1;10.0;Pürro Tobias (1997);;26;45.5;1;10.0;0;0.0;9.75
o;2;19.75;Matthey Mickaël;**;28;44.75;10;17.25;8;-2.5;8.5
o;5;28.25;Boschung Michaël;;27;45.25;5;28.25;0;0.0;8.5
o;11;36.75;Delabays Alexandre;;26;45.5;11;36.75;0;0.0;8.5
+;14;45.25;Rappo Yann (1998);;27;45.25;14;45.25;0;0.0;9.75

13b;Rossy Yannick;;;;;;;;;;55.0
+;;;Ruch Florian (1997);;;;;;;;9.75
o;2;9.75;Berset Julien;*;10;55.75;3;9.0;1;-0.75;8.5
+;7;18.25;Cressier Gaetan;;30;35.5;7;18.25;0;0.0;9.75
-;6;28.0;Brodard Augustin;**;9;56.0;3;28.75;-3;0.75;8.75
+;11;36.75;Burri Flemming;;17;54.0;10;37.0;-1;0.25;9.75
o;9;46.5;Emonet Frédéric;*;23;46.75;8;46.75;-1;0.25;8.5

13c;Vaucher Rémy (1999);;;;;;;;;;55.0
+;;;Chautems Mike;;;;;;;;10.0
o;1;10.0;Rappo Yann (1998);;27;45.25;2;9.75;1;-0.25;8.5
o;6;18.5;Minder Florian;;12;55.25;4;19.0;-2;0.5;8.5
+;10;27.0;Pürro Fabrice (1999);;30;35.5;10;27.0;0;0.0;9.75
o;11;36.75;Kolly Gaëtan (1998);;14;54.75;12;36.5;1;-0.25;8.5
+;14;45.25;Kramer Dorian (1999);;19;53.5;15;45.0;1;-0.25;9.75

13d;Pasche Bernard;**;;;;;;;;;55.0
+;;;Remy Guillaume;**;;;;;;;9.75
o;2;9.75;Häni William;**;6;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Derron Julien (1997);;12;55.25;6;18.5;-1;0.25;9.75
o;6;28.0;Moser Steven;**;5;57.0;9;27.25;3;-0.75;8.5
+;12;36.5;Emonet Fabien;;26;45.5;10;37.0;-2;0.5;10.0
o;9;46.5;Mauron Olivier;*;7;56.5;8;46.75;-1;0.25;8.5

13e;Roch Vincent;*;;;;;;;;;55.0
o;;;Sonnay Thomas;**;;;;;;;8.5
o;5;8.5;Duplan Steve (1997);;4;57.25;1;10.0;-4;1.5;8.5
+;11;17.0;Croisier Anthony;;30;35.5;11;17.0;0;0.0;10.0
+;10;27.0;Giroud Jonathan;**;16;54.25;8;27.5;-2;0.5;9.75
+;11;36.75;Berset Cyril;;14;54.75;9;37.25;-2;0.5;9.75
o;9;46.5;Studer Stefan;**;7;56.5;9;46.5;0;0.0;8.5

13f;Skryapnik Oleg;;;;;;;;;;55.0
-;;;Vonlanthen Alexandre;;;;;;;;8.75
+;4;8.75;Curty Alexandre;;30;35.5;4;8.75;0;0.0;9.75
