3448-2016-05-29_97_Luzerner_Kantonales_Schwingfest-ST

1a;Odermatt Andreas;*;;;;;;;;;109.75
-;;;Egli Pirmin;**;;;;;;;8.75
+;5;8.75;Schöpfer Thomas;*;12;55.75;5;8.75;0;0.0;9.75
-;7;18.5;Suppiger Thomas;;11;56.0;2;20.0;-5;1.5;8.75
+;10;27.25;Schöpfer Ronny (1999);;13;55.5;6;28.25;-4;1.0;10.0
+;9;37.25;Müller Roger;;12;55.75;9;37.25;0;0.0;10.0
o;6;47.25;Vogel Remo;*;4;57.75;4;47.75;-2;0.5;8.5

12f;Fankhauser Kurt;**;;;;;;;;;55.75
o;;;Egli Damian;**;;;;;;;8.75
o;5;8.75;Vogel Remo;*;4;57.75;5;8.75;0;0.0;8.75
o;10;17.5;Ottiger Lukas;;12;55.75;6;18.75;-4;1.25;8.5
+;14;26.0;Lang Julian (1998);;17;54.5;9;27.5;-5;1.5;10.0
+;14;36.0;Fischer Tobias;;14;55.25;11;36.75;-3;0.75;10.0
+;11;46.0;Bättig Martin;*;17;54.5;11;46.0;0;0.0;9.75

12g;Jund Matthias (1999);;;;;;;;;;55.75
+;;;Mignola Lorenzo;;;;;;;;10.0
o;2;10.0;Scheuber Stefan;;17;54.5;3;9.75;1;-0.25;8.5
